Ticker,Year,Industry,index,Close,Open,High,Low,Volume,Month,Day,Company,Daily_range,Net_change,Percentage_change,Log_Close,Log_Daily_range,Winsorized_Close,Winsorized_Daily_range,Forecast_Close_Automotive,Forecast_Close_E-commerce,Forecast_Close_Entertainment,Forecast_Close_Finance,Forecast_Close_Healthcare,Forecast_Close_Retail,Forecast_Close_Semiconductors,Forecast_Close_Technology,Forecast_Close_Telecommunications
AAPL,2017,Technology,28,36.01,38.29,39,35.55,684178036,6,1,APPLE INC.,3.45,-2.28,-5.954557326,3.611188146,1.492904096,36.01,3.45,,,,,,,,,
AAPL,2017,Technology,29,37.18,36.22,38.5,35.6,422011831,7,1,APPLE INC.,2.9,0.96,2.650469354,3.642311818,1.360976553,37.18,2.9,,,,,,,,,
AAPL,2017,Technology,30,41,37.28,41.13,37.1,661068913,8,1,APPLE INC.,4.03,3.72,9.978540773,3.737669618,1.615419984,41,4.03,,,,,,,,,
AAPL,2017,Technology,31,38.53,41.2,41.24,37.29,680442092,9,1,APPLE INC.,3.95,-2.67,-6.480582524,3.677059877,1.599387577,38.53,3.95,,,,,,,,,
AAPL,2017,Technology,32,42.26,38.57,42.41,38.12,504291118,10,1,APPLE INC.,4.29,3.69,9.567021001,3.767228421,1.665818246,42.26,4.29,,,,,,,,,
AAPL,2017,Technology,33,42.96,42.47,44.06,41.32,600663371,11,1,APPLE INC.,2.74,0.49,1.153755592,3.78328013,1.319085611,42.96,2.74,,,,,,,,,
AAPL,2017,Technology,34,42.31,42.49,44.3,41.62,531184058,12,1,APPLE INC.,2.68,-0.18,-0.423629089,3.768383555,1.302912752,42.31,2.68,,,,,,,,,
AAPL,2018,Technology,35,41.86,42.54,45.03,41.18,659679440,1,1,APPLE INC.,3.85,-0.68,-1.598495534,3.75793899,1.578978705,41.86,3.85,,,,,,,,,
AAPL,2018,Technology,36,44.53,41.79,45.15,37.56,927894473,2,1,APPLE INC.,7.59,2.74,6.556592486,3.818371449,2.150598736,44.53,7.59,,,,,,,,,
AAPL,2018,Technology,37,41.95,44.64,45.88,41.24,713727447,3,1,APPLE INC.,4.64,-2.69,-6.025985663,3.760036648,1.729884066,41.95,4.64,,,,,,,,,
AAPL,2018,Technology,38,41.32,41.97,44.73,40.16,666360147,4,1,APPLE INC.,4.57,-0.65,-1.54872528,3.745259788,1.717395054,41.32,4.57,,,,,,,,,
AAPL,2018,Technology,39,46.72,41.6,47.59,41.32,620976206,5,1,APPLE INC.,6.27,5.12,12.30769231,3.865350597,1.983756292,46.72,6.27,,,,,,,,,
